A
Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-01,138.58,139.99,136.25,137.51,136.749,3133003
2023-03-02,136.3,141.72,136.08,141.67,140.8859,1879178
2023-03-03,142.54,144.44,141.98,143.93,143.1334,1147878
2023-03-06,143.35,145.435,142.68,143.23,142.4373,1153577
2023-03-07,143.56,143.66,140.23,140.33,139.5534,1088388
2023-03-08,140.15,141.58,139.375,140.9,140.1202,1136076
2023-03-09,141.26,142,138.3,138.93,138.1611,1328860
2023-03-10,139.19,139.44,134.71,135.72,134.9689,1895992
2023-03-13,135.55,138.28,134.76,136.69,135.9335,1771364
2023-03-14,138.44,139.6,136.43,138.4,137.634,1255370
2023-03-15,135.93,135.93,132.2,134.03,133.2882,2016723
2023-03-16,133.97,137.05,132.37,136.82,136.0628,1789312
2023-03-17,136.89,136.92,132.73,133.18,132.4429,2045953
2023-03-20,133.14,135.38,132.73,134.54,133.7954,1704510
2023-03-21,135.56,137.42,135.215,137.01,136.2517,1392258
2023-03-22,136.96,137.535,133.6,133.73,132.9899,1268528
2023-03-23,134.66,135.07,129.3721,131.13,130.4043,3297906
2023-03-24,130.14,131.98,128.22,131.96,131.2297,1571589
2023-03-27,133.58,134.62,132.73,133.07,132.3335,1216331
2023-03-28,132.54,133.31,132.0108,132.63,131.896,942618
2023-03-29,133.95,134.24,132.6301,133.85,133.1092,1002779
2023-03-30,135.27,135.54,133.32,134.49,133.7457,1468195
2023-03-31,135.4,138.73,134.86,138.34,137.5744,2579848

AA
Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-01,51.29,52.96,50.53,51.65,51.0417,7599600
2023-03-02,50.19,53.71,50.05,53.69,53.0577,6467900
2023-03-03,54.33,55.74,53.7,55.52,54.8662,6162700
2023-03-06,54.01,54.9,53.38,53.69,53.1535,5129900
2023-03-07,52.78,53.04,49.92,50.17,49.6686,6298100
2023-03-08,50.41,51.24,49.75,51.02,50.5101,3467000
2023-03-09,50.7,51.14,47.33,47.9,47.4213,5590500
2023-03-10,48.12,48.12,44.46,44.91,44.4612,6195500
2023-03-13,43.51,46.05,42.245,44.71,44.2632,5585500
2023-03-14,45.83,46.23,43.92,44.59,44.1444,4197000
2023-03-15,42.33,42.47,38.85,39.77,39.3726,9434500
2023-03-16,39.17,41.098,38.51,40.75,40.3428,6519500
2023-03-17,40.61,40.75,38.901,39.15,38.7588,10292000
2023-03-20,39.89,40.78,39.69,40.28,39.8775,8559800
2023-03-21,41.12,42.47,41.12,41.91,41.4912,4334100
2023-03-22,41.95,42.24,39.96,40.06,39.6597,6664500
2023-03-23,40.58,41.63,39.73,40.23,39.828,4143200
2023-03-24,39.28,40.185,38.816,40.08,39.6795,4013700
2023-03-27,40.51,40.77,39.573,40.12,39.7191,3897700
2023-03-28,40.25,41.03,40.06,40.53,40.125,3409800
2023-03-29,41.3,41.4,40.71,40.94,40.5309,4154800
2023-03-30,41.6,42.89,41.38,41.76,41.3427,4800400
2023-03-31,41.97,42.75,41.6,42.56,42.1347,3079300

AAL
Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-01,15.93,16.05,15.75,16.03,16.03,11730500
2023-03-02,15.88,16.15,15.73,16.12,16.12,11728300
2023-03-03,16.37,16.55,16.14,16.36,16.36,14357700
2023-03-06,16.47,16.55,16.1,16.12,16.12,13504800
2023-03-07,16.24,16.66,16.14,16.36,16.36,17951300
2023-03-08,16.41,16.6,16.27,16.59,16.59,11399600
2023-03-09,16.55,16.8,15.85,15.88,15.88,18505000
2023-03-10,15.98,16,15.11,15.46,15.46,27268300
2023-03-13,15.02,15.26,14.69,14.85,14.85,32541700
2023-03-14,15.05,15.32,14.49,14.66,14.66,35258900
2023-03-15,14.24,14.42,13.51,13.86,13.86,41843700
2023-03-16,13.7,14.23,13.63,14.12,14.12,24557900
2023-03-17,13.95,14.17,13.67,13.98,13.98,31250100
2023-03-20,14.02,14.21,13.87,13.96,13.96,28076200
2023-03-21,14.29,14.54,14.25,14.37,14.37,17788600
2023-03-22,14.36,14.43,13.79,13.82,13.82,21378100
2023-03-23,14,14.18,13.47,13.63,13.63,25033400
2023-03-24,13.5,13.74,13.36,13.72,13.72,19871300
2023-03-27,13.96,14.06,13.71,13.94,13.94,17126700
2023-03-28,13.91,14.08,13.85,13.98,13.98,11553000
2023-03-29,14.18,14.39,14.06,14.35,14.35,15907000
2023-03-30,14.56,14.7,14.46,14.47,14.47,13673500
2023-03-31,14.61,14.76,14.56,14.75,14.75,12325700

AAN
Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-01,14.23,14.535,14.15,14.4,13.9298,250668
2023-03-02,12.24,13.2,11.51,12.37,11.9661,1099345
2023-03-03,12.36,12.93,12.36,12.78,12.3627,854792
2023-03-06,12.79,12.85,11.96,12,11.6082,575452
2023-03-07,11.99,12.31,11.77,12.26,11.8597,274162
2023-03-08,12.28,12.28,11.87,12.16,11.763,259518
2023-03-09,12.06,12.15,11.49,11.51,11.1342,285237
